date,action,symbol,name,shares,price,cost,score,cash_after,pnl,return_pct,hit_limit,reason
2026-06-17,BUY,002297.SZ,博云新材,100,25.800624,2585.0624,0.4010167259172384,7414.9376,0.0,0.0,False,
2026-06-17,BUY,000066.SZ,中国长城,100,17.824247999999997,1787.4247999999998,0.2389507958494777,5627.5128,0.0,0.0,False,
2026-06-17,BUY,002171.SZ,楚江新材,200,15.012,3007.4,0.2057173487342199,2620.112800000001,0.0,0.0,False,
2026-06-18,SELL,002297.SZ,博云新材,100,28.337312,,0.4010167259172384,5447.427134400001,242.25193439999973,0.0937122192485565,True,morning_limit_hit
2026-06-18,SELL,000066.SZ,中国长城,100,17.705824,,0.2389507958494777,7212.124243200001,-22.72769119999976,-0.0127153272126467,False,morning_pullback
2026-06-18,SELL,002171.SZ,楚江新材,200,15.477608,,0.2057173487342199,10301.0980824,81.5738392000003,0.0271243729467314,False,force_sell
2026-06-18,BUY,300088.SZ,长信科技,200,10.378296,2080.6592,0.3100763114970927,8220.4388824,0.0,0.0,False,
2026-06-18,BUY,600186.SH,莲花控股,200,14.291423999999996,2863.2847999999994,0.2903680930702255,5357.1540824,0.0,0.0,False,
2026-06-18,BUY,300283.SZ,温州宏丰,100,22.2678,2231.78,0.2877111449571335,3125.3740824000006,0.0,0.0,False,
2026-06-22,SELL,300088.SZ,长信科技,200,10.631488,,0.3100763114970927,5245.6085336000015,39.57525120000082,0.0190205350304369,False,morning_pullback
2026-06-22,SELL,600186.SH,莲花控股,200,15.697432,,0.2903680930702255,8378.525190400002,269.6318568000006,0.0941687172718552,True,morning_limit_hit
2026-06-22,SELL,300283.SZ,温州宏丰,100,24.88008,,0.2877111449571335,10860.2891864,249.983996,0.1120110387224547,False,morning_pullback
2026-06-22,BUY,300522.SZ,世名科技,200,23.06844,4618.688,0.4976769869007214,6241.601186400001,0.0,0.0,False,
2026-06-22,BUY,301310.SZ,鑫宏业,100,45.13608,4518.608,0.3716332351512071,1722.993186400001,0.0,0.0,False,
2026-06-22,BUY,002141.SZ,贤丰控股,300,4.5036,1356.08,0.2279734921888304,366.913186400001,0.0,0.0,False,
2026-06-23,SELL,300522.SZ,世名科技,200,22.202224,,0.4976769869007214,4800.137764,-185.46342240000104,-0.0401550012471076,False,morning_pullback
2026-06-23,SELL,002141.SZ,贤丰控股,300,4.94604,,0.2279734921888304,6278.207858,121.990094,0.0899578889151082,True,morning_limit_hit
2026-06-23,SELL,301310.SZ,鑫宏业,100,44.91404,,0.3716332351512071,10762.366156,-34.44970199999989,-0.0076239633975772,False,force_sell
2026-06-24,BUY,300085.SZ,银之杰,100,38.570832,3862.0832,0.3806374507122957,6900.282956000001,0.0,0.0,False,
2026-06-24,BUY,600353.SH,旭光电子,100,52.94232,5299.232,0.3308154110377055,1601.050956000001,0.0,0.0,False,
2026-06-24,BUY,002141.SZ,贤丰控股,300,4.763807999999999,1434.1423999999995,0.2481892432277493,166.90855600000123,0.0,0.0,False,
2026-06-25,SELL,300085.SZ,银之杰,100,37.739784,,0.3806374507122957,3933.9999668000014,-94.9917891999994,-0.02459599762118,False,morning_pullback
2026-06-25,SELL,600353.SH,旭光电子,100,49.230584,,0.3308154110377055,8849.596837600002,-383.6351292,-0.0723944770110083,False,morning_pullback
2026-06-25,SELL,002141.SZ,贤丰控股,300,4.59632,,0.2481892432277493,10222.803389600002,-60.93584799999985,-0.0424893985422924,False,morning_pullback
2026-06-25,BUY,600851.SH,海欣股份,400,9.787824,3920.1295999999993,0.9999840187911384,6302.673789600002,0.0,0.0,False,
2026-06-25,BUY,002083.SZ,孚日股份,300,11.949552,3589.8656,0.9999566957541624,2712.8081896000026,0.0,0.0,False,
2026-06-25,BUY,603065.SH,宿迁联盛,100,20.146104,2019.6104,0.98183596759982,693.1977896000028,0.0,0.0,False,
2026-06-26,SELL,600851.SH,海欣股份,400,9.19264,,0.9999840187911384,4363.415261600002,-249.912128,-0.063750986191885,False,morning_pullback
2026-06-26,SELL,002083.SZ,孚日股份,300,11.560744,,0.9999566957541624,7824.904350000002,-128.37651159999996,-0.0357608127724893,False,morning_pullback
2026-06-26,SELL,603065.SH,宿迁联盛,100,21.962416,,0.98183596759982,10015.047829200004,170.53307920000043,0.0844386022175368,False,force_sell
2026-06-26,BUY,688403.SH,汇成股份,100,39.33143999999999,3938.1439999999993,0.2391911660036192,6076.903829200003,0.0,0.0,False,
2026-06-26,BUY,600667.SH,太极实业,100,26.901504,2695.1503999999995,0.1388966027036574,3381.753429200004,0.0,0.0,False,
2026-06-26,BUY,002068.SZ,黑猫股份,200,14.611679999999998,2927.336,0.1342957950547245,454.4174292000039,0.0,0.0,False,
2026-06-29,SELL,688403.SH,汇成股份,100,39.11868,,0.2391911660036192,4359.329495200003,-33.231933999999455,-0.0084384760943224,False,morning_pullback
2026-06-29,SELL,600667.SH,太极实业,100,26.4788,,0.1388966027036574,7000.885555200003,-53.59433999999965,-0.0198854728107194,False,morning_pullback
2026-06-29,SELL,002068.SZ,黑猫股份,200,14.428448,,0.1342957950547245,9880.132310400004,-48.08924479999996,-0.0164276477999108,False,morning_pullback
2026-06-29,BUY,002930.SZ,宏川智慧,400,9.487584,3800.0336,0.9999999999999992,6080.098710400003,0.0,0.0,False,
2026-06-29,BUY,002225.SZ,濮耐股份,800,4.443552,3559.8416,0.9999999999958884,2520.257110400003,0.0,0.0,False,
2026-06-29,BUY,002745.SZ,木林森,200,11.839464,2372.8928,0.9999999999913088,147.36431040000298,0.0,0.0,False,
2026-06-30,SELL,002930.SZ,宏川智慧,400,9.14268,,0.9999999999999992,3797.607774400003,-149.79013600000008,-0.0394181083030423,False,morning_pullback
2026-06-30,SELL,002225.SZ,濮耐股份,800,4.726216,,0.9999999999958884,7571.690088000003,214.2407135999997,0.0601826535203138,False,eod_settle
2026-06-30,SELL,002745.SZ,木林森,200,12.53996,,0.9999999999913088,10073.428092000004,128.8452040000002,0.0542987883818435,False,eod_settle
2026-06-30,BUY,688432.SH,有研硅,100,40.00197599999999,4005.197599999999,0.3105184168844985,6068.230492000004,0.0,0.0,False,
2026-06-30,BUY,600667.SH,XD太极实,100,29.203344,2925.3344,0.1858360517426727,3142.8960920000045,0.0,0.0,False,
2026-06-30,BUY,002674.SZ,兴业科技,100,28.552824,2860.2824,0.1602114427169832,282.6136920000049,0.0,0.0,False,
2026-07-01,SELL,600667.SH,XD太极实,100,32.07432,,0.1858360517426727,3483.4419760000046,275.493884,0.0941751766909109,True,morning_limit_hit
2026-07-01,SELL,002674.SZ,兴业科技,100,27.57792,,0.1602114427169832,6234.855080000005,-108.8692959999994,-0.038062429080429,False,morning_pullback
2026-07-01,SELL,688432.SH,有研硅,100,44.744176,,0.3105184168844985,10702.035471200004,461.98279120000143,0.1153458174448125,False,force_sell
